region,epiweek,week_end_date,wILI,confirmed_cases,uci_beds,death,recovered,hosp_rate,hospitalization,cli_er_visit,ili_er_visit,negative_cases,people_tested,emergency_facility_reporting,num_provider,kinsa_cases,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,historical_endogeneous
Region 5,16,2020-04-18,1.43316,0.7389625769777357,0.9332889115352958,0.9163778162911611,0.020465042654349955,0.759493670886076,0.6551094890510949,0.7692307692307695,0.34146341463414637,0.17770347923777877,0.20300468516707,0.7666666666666693,0.5686274509803924,0.04906865877272676,0.0,0.0,0.0,0.0,0.0,0.0,0.17615702250894105,0.0,0.0,0.28166116078201575,0.20925756687166033,0.2716451735543113,0.21005564335801244,0.2424504120979023,0.19048340790085236,0.18211904482111668,0.14439553417235518,0.30143456298084526,0.22973144665857284,0.27534643703514927,0.21397812058094187,0.23838095975662488,0.1866372425775764,0.1624523228613398,0.12735666797155834,0.18818210333766547,0.1434694630239484,0.2450631050680515,0.18199268253365256,0.23549163911809703,0.17910787558663632,0.2385484732602444,0.1863343522525856,1.43316
Region 5,17,2020-04-25,1.4612399999999999,0.8581714827096163,0.8546231333045898,1.0,0.049889477463013115,0.5895117540687161,0.5348742903487429,0.6730769230769232,0.29268292682926833,0.25064781057244073,0.27787365494516814,0.8666666666666671,0.5588235294117645,0.043607003265249564,0.0,0.0,0.0,0.0,0.0,0.0,0.2501328933323693,0.17269089443849805,0.1649520797345354,0.4118608706339501,0.3299259750980062,0.4123496905124954,0.3487834555010675,0.37482094482972705,0.32265952480892107,0.28153132347490906,0.24114432986972353,0.4478502391054811,0.3713621459699453,0.4199436514871913,0.3571632129571822,0.36695812181628157,0.31392146458070597,0.24928438456620292,0.21021384912868102,0.28200873269126897,0.23179149114101852,0.353779217657749,0.28292184306349577,0.3526964049544982,0.29215466518461053,0.3660460482224763,0.3116687300394825,1.4612399999999999
Region 5,18,2020-05-02,1.29092,0.8738512553292279,0.8749265080547173,0.8860485268630849,0.10045396213401778,0.6021699819168174,1.0,0.6346153846153848,0.21951219512195125,0.31723348298259735,0.3418328785460537,0.8000000000000007,0.47058823529411775,0.0350976848912499,0.0,0.0,0.0,0.0,0.0,0.0,0.33886736607541534,0.25861168614777047,0.23189422527803516,0.4850281456854206,0.37866920671637677,0.4834607732345831,0.39920497760685786,0.43720450432657887,0.3680908709932071,0.3268135279084258,0.2737177877158226,0.530301992604254,0.4284057841716358,0.49285033213200563,0.4093762274996907,0.42566845730582414,0.35631441752801146,0.2894927120064148,0.23862177638281365,0.32723583007114226,0.2632757332047761,0.4186090139896116,0.3265476149415517,0.4144390231099837,0.3366919864139144,0.42749236119045786,0.35544871053140153,1.29092
Region 5,19,2020-05-09,1.21509,0.815561345333965,0.8188374554148865,0.7959272097053726,0.1471227393759858,0.5009041591320071,0.4725770478507705,0.5000000000000001,0.1707317073170732,0.40337076717128456,0.4228945065128971,0.8666666666666671,0.3431372549019609,0.025607910711061645,0.0,0.0,0.0,0.0,0.0,0.0,0.17204902381873766,0.4048191505402344,0.3591425582741759,0.5917062253881386,0.4600307316590207,0.6017926424299486,0.49717828583734147,0.5549438089656309,0.4681546227772993,0.4288113565656002,0.36164942234613157,0.6498177802419951,0.5230301370721033,0.6143728241431584,0.5103410286275565,0.5420519806112115,0.45539320367824004,0.381140763552346,0.31628647895024264,0.41879691408227526,0.3390918357236936,0.5130197488006267,0.3992810223611537,0.5165251581303375,0.42094730350912657,0.5419328767294787,0.4512768708962462,1.21509
Region 5,20,2020-05-16,1.11458,0.8180009474182852,0.7295104456551562,0.7235701906412478,0.1918942601774014,0.5045207956600362,0.528360705596107,0.42307692307692324,0.12195121951219513,0.4800857434325782,0.4945940379961901,0.8000000000000007,0.3333333333333335,0.021339561973403226,0.0,0.0,0.0,0.0,0.0,0.0,0.5497042325994785,0.3944816165888217,0.3604315872182419,0.5895083455214843,0.45278930042156357,0.5952725888414404,0.48910290492284264,0.5463928907815743,0.45978453778948336,0.4212854810852225,0.3550788174347329,0.6408033495214753,0.5106201181726685,0.6064515315808391,0.5010803751272239,0.534537791979746,0.44772139876968653,0.37829425491372043,0.3137214280332841,0.41886548211692115,0.3379153704214614,0.5057372053916747,0.3879764655827045,0.5092975122791406,0.41270712178885444,0.5349353928101612,0.44364254376430606,1.11458
Region 5,21,2020-05-23,0.9058959999999999,0.6730222643297016,0.6898835887586721,0.5896880415944541,0.23709091114666428,0.5009041591320071,0.3996477088402271,0.3076923076923078,0.09756097560975611,0.4968330456566561,0.5032579931009629,0.9000000000000021,0.1960784313725492,0.016659135874352693,0.0,0.0,0.0,0.0,0.0,0.0,0.6324021586129762,0.5365054328900862,0.4790326370022943,0.702661164524851,0.5276913045586058,0.7137491104780957,0.5754467045801489,0.6613564379686984,0.5471115098351494,0.5238032974113142,0.43627991006044126,0.7604773957846076,0.5928575317085243,0.7271014338045885,0.5892578565905859,0.6489300387237672,0.5348545019464803,0.4723797967508829,0.38710302073114666,0.5139457901093528,0.40919495829979563,0.6115349673736332,0.4586194595420562,0.6120443062255252,0.48855341671486907,0.6476053494883136,0.5278087339538575,0.9058959999999999
Region 5,22,2020-05-30,0.572238,0.6405495026054003,0.6059655861717556,0.5363951473136915,0.37669755267487154,0.47197106690777585,0.4161534367396594,0.17307692307692307,0.04878048780487805,0.5181688267526396,0.5171003449518613,0.9000000000000021,0.23529411764705888,0.01822770801804735,0.0,0.0,0.0,0.0,0.0,0.0,0.7260058430540377,0.579517203539544,0.5171494118111157,0.7357855519075969,0.5440989043385146,0.7462334339805953,0.5936872801700068,0.6946414927109266,0.5683884241278154,0.559593286230426,0.4625030781010394,0.795677123898231,0.6102320193391828,0.7592400069714078,0.6073188775764161,0.6828626036861531,0.5571672615610442,0.5068070910609419,0.41241937396524464,0.5499346743012213,0.43320048216096585,0.6503448600442534,0.4798600074477655,0.6500340032328044,0.513553680748425,0.6805429961058355,0.5484348422438915,0.572238
Region 5,23,2020-06-06,0.513026,0.46797726196115585,0.49366989377964177,0.5147313691507799,0.4300039007954231,0.2766726943942134,0.277274052108678,0.05769230769230771,0.02439024390243902,0.5260921311461297,0.5196931472995934,0.8000000000000007,0.23529411764705888,0.005229838241070959,0.0,0.0,0.0,0.0,0.0,0.0,0.8103495200955981,0.6719032508801448,0.5738218356797298,0.7988862192899284,0.5704386614143049,0.8161413284853654,0.6239506795590902,0.7709717962867202,0.6064303100917696,0.6372655294183288,0.5095976080015702,0.8592290498056983,0.633579641510889,0.8300214789404076,0.6376619351486701,0.7610650514991468,0.5990097142244637,0.58170912952381,0.4585030537689965,0.6197068068665796,0.4724383003195387,0.7142618110401817,0.5113233678088068,0.71270796461836,0.5456495214505405,0.7567478329963928,0.5872678780341078,0.513026
Region 5,24,2020-06-13,0.624656,0.39585504500236857,0.4122212205542273,0.3648180242634315,0.47540463685855944,0.2513562386980109,0.25724699665450124,0.0,0.0,0.5832802458667102,0.5748638212428565,0.7333333333333343,0.23529411764705888,0.012676294438330937,0.0,0.0,0.0,0.0,0.0,0.0,0.896683407682723,0.7368177278944728,0.6369609653485893,0.8457121166107285,0.5963051480087309,0.8646960860641476,0.6557163048079171,0.825170418057094,0.6447694971405796,0.70411939829553,0.5594958178658143,0.904525445200446,0.6597040817928652,0.8796337454096155,0.6706775300537433,0.8178235313441626,0.6383254793337328,0.6464563315173472,0.5065087495541736,0.6827478256085091,0.5165022212392992,0.7734600320771856,0.54436356054726,0.7715070044726329,0.5866592290163758,0.8112075808558541,0.6248286173409671,0.624656
Region 5,25,2020-06-20,0.519163,0.48169114163903365,0.36561752831889627,0.25086655112651646,0.5221418193535987,0.23146473779385174,0.24338582856853203,0.0,0.02439024390243902,0.6318208427133147,0.6255212891932246,0.6666666666666679,0.1568627450980391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9271680749816076,0.8096016901754128,0.6955509258275234,0.9005517722455192,0.6183901701850725,0.9210078711777249,0.6842103462827294,0.8853662291308596,0.6798807670243644,0.7686661078820118,0.6019218742563949,0.9604682575626312,0.6840500982284707,0.9370622749614483,0.7005321428926968,0.8804996824178402,0.6749996138400356,0.706502096427373,0.5449645959174033,0.7409317269687918,0.5503701946363536,0.833210501464461,0.5696174381105278,0.8296552127554905,0.6181943940708813,0.871194259589735,0.6589612299942533,0.519163
