region,week_end_date,wILI_historical,wILI
Region 7,2020-05-02,1.2109299999999998,1.2109299999999998
Region 8,2020-05-02,0.892158,0.892158
Region 9,2020-05-02,1.18413,1.18413
Region 10,2020-05-02,1.20611,1.20611
Region 1,2020-05-09,1.3716899999999999,1.3716899999999999
Region 2,2020-05-09,1.98797,1.98797
Region 3,2020-05-09,1.40296,1.40296
Region 4,2020-05-09,0.87092,0.87092
Region 5,2020-05-09,1.22951,1.22951
Region 6,2020-05-09,1.4162299999999999,1.4162299999999999
Region 7,2020-05-09,0.590695,0.590695
Region 8,2020-05-09,0.806534,0.806534
Region 9,2020-05-09,1.22065,1.22065
Region 10,2020-05-09,1.12295,1.12295
